project,v1_date,v1_commit,v2_date,v2_commit
OHDSI/Cyclops,26-Jun-17,448ac67ef2f8e0b4447b8062e8100d8ca2e444fe,29-Dec-12,5295b1310c156e74c3b38976471e85b0b790386f
OPM/opm-autodiff,24-Feb-17,930f0ea9a09f0b3ea54fbf0b605c7da3a471ecad,26-Nov-12,b4d5e03c61469ac40cfedfc00a0dbe7b8e3376c5
OPM/opm-material,30-Jun-17,ff4f092a7ff03f16e128df1c6f1c8f6d1b6dbe8c,30-Dec-12,99dd0217678ea90b2b95ad5f75a6bd9e12665453
Open-Transactions/opentxs-notary,18-Feb-17,f75bc57330d8c9b9e6a05c966afc9398db0c375f,31-Dec-12,0b975048db408fa6310db94d08c11047d162fa7f
OpenChemistry/avogadrolibs,8-Jun-17,152ff82eb71581e9dac585db347f750508f52cc7,30-Dec-12,e0c8c9bed2ed11ee167499466c07a25337188697
OpenDungeons/OpenDungeons,20-Jan-17,7126446eac7ef2bdf6144cbe1d3fe22198b0c360,31-Dec-12,a6401087d33e623347760ab9d501aad17045e16e
OpenImageIO/oiio,18-Mar-17,777dc35b8ac1f18941bbc440da0cbe5e7b56669d,10-Oct-12,724ce644848e585901dc5e487330be3c706647f8
OpenMS/OpenMS,27-Jun-17,7a582b38741014c4f1d6847721fba0a2db1e40ef,30-Dec-12,d1f3c812e645fe34775bd102f3428468d5dc9aeb
OpenMW/openmw,18-Mar-17,4a1406c6382560c1265910a843dfe9be21a54485,30-Dec-12,a842fc2c11e30d189a41be930cf9db55eaddddfa
Opendigitalradio/ODR-DabMod,5-Jun-17,02aa4b6c14506b72eb2fe9d3f4e99b751e2e91c8,26-Sep-12,f2118c3b98b2e6cce2cb78ca41977a228a7e3b5f
PCSX2/pcsx2,7-Mar-17,ec7781f1f9d59e5db181aae07e48e94945ed1565,28-Dec-12,c20de38d4c3d42440e2572b370a73047100021bf
Patapom/GodComplex,27-Jun-17,57ae11823009ba62b7be65f43237428604bf9f26,30-Dec-12,3ab033dd356104a495a31f629736bd4ffe09307f
PixarAnimationStudios/OpenSubdiv,31-Jan-17,a00df9344c19e328c3d52270face2a4bc596550b,9-Sep-12,99b2881dbbbb5750c19c377470d3884dc1b04966
Project-OSRM/osrm-backend,17-Mar-17,af65ccd054f64d162bf44375a534ecf45a7b59aa,31-Dec-12,0235cf5d8e9e1d3d8b15513ffaf1bbe8da3fcad0
ProjectSkyfire/SkyFire.548,23-May-17,9be9bff0ad5dc9444a061bebd4e24b4bb0e16777,18-Aug-12,3bd3eb92203fb25127fa13cee70df0d26bd61921
ProjectSkyfire/SkyFire_5xx,23-May-17,9be9bff0ad5dc9444a061bebd4e24b4bb0e16777,18-Aug-12,3bd3eb92203fb25127fa13cee70df0d26bd61921
RainerKuemmerle/g2o,11-Jun-17,deafc01ee8315b9405351fb145238c5d62f82dc7,29-Dec-12,0878c2967bed6d43f02f7528f66df78008a31778
Reactive-Extensions/RxCpp,25-Feb-17,c808bb5b4536e35f25611db3c38fd9cda4a62c36,13-Dec-12,dcea1dbbcfc851025cd575d16214da102768a54e
ReadyTalk/avian,1-Mar-17,dee99d6dd60b743a870d1a2c58183649c8a6449c,31-Dec-12,e8f560895b155a85099879c9c2eac7009a0624d4
Revolutionary-Games/Thrive,20-Feb-17,0ab2fcf115af106da740c47b8a79a8187336bcdc,9-Nov-12,c09fb6badcdb0f7e66634d04692ab25b825b9280
RuntimeCompiledCPlusPlus/RuntimeCompiledCPlusPlus,19-Apr-17,6372acfb1ff1380342e090466d7f0829b3ebb085,13-Dec-12,7f91998aa36207241bcd8fa33c497a3999e4c2e1
Ryochan7/antimicro,29-Jan-17,81693777b4a51136fce097ea259a95466315c71f,30-Dec-12,dd901c1918ebf8ee422b75b7fea712e8ea26acd3
SINTEF-Geometry/GoTools,26-Jun-17,3d28295918f2dfe8df0b001754248d8ec4a7a50b,20-Dec-12,82831d8f253b143e16d55b9fd266d3169e21c6da
SOCI/soci,2-Mar-17,e719c44bb89949d3c179a6390de57ccd9046878b,17-Aug-12,5776805d9336584fc329bcb7c46c071d5c620733
STEllAR-GROUP/hpx,18-Mar-17,694ae57b429fcfe67fc04059b2504398e0457a73,27-Dec-12,60e6a3edf0939a4d7a1184b48408857b70636814
SafirSDK/safir_sdk_core,21-Jun-17,88c98c69f4fd4727e96e2610acb9b057683ee67a,20-Dec-12,14abfa3d8a252249e5558c62c55b044a5d4f1825
SimTk/openmm,28-Jun-17,feb79f770145bb12c99bbe058e29d077a381465d,22-Dec-12,94fd9e1d99b5edd10b8c4c717c4e2656a3e47d21
Slicer/Slicer,1-Jul-17,cdcfeb14564316be607c2c062ca4e418753d1c40,31-Dec-12,e980b3868daf005519894500f080a49572e7672e
Slicer/SlicerExecutionModel,15-Jun-17,1d3e9a226bd594f23733993c16c337ba60077bc5,5-Dec-12,d9d80d4d63177554af0d5111706567873c180310
SupSuper/OpenXcom,15-Mar-17,bcb0a0cd60f83576484977824c6522f4e3e8e86b,31-Dec-12,72f9b359e8aab5196483c4ccf37f7cb29fd1a088
SuperTux/supertux,3-Mar-17,0fb271c8711c141eb5b30314668c90d7d75fb7f1,25-Apr-12,a2537cd083b61bcc1349b6ef2e37be5cb62b99d2
SuperTuxTeam/supertux,3-Mar-17,0fb271c8711c141eb5b30314668c90d7d75fb7f1,25-Apr-12,a2537cd083b61bcc1349b6ef2e37be5cb62b99d2
SuperV1234/SSVOpenHexagon,25-May-17,434ea9f0f7b0570c9dac8daa2b8acc09d55b2fb3,21-Dec-12,bf640083d8b8a9bebf1869452341df323f705dab
TUM-I5/ASAGI,11-Apr-17,f633f96931ae00805f599078d5a1a6a830881554,4-Dec-12,1ab016970126505b30d516bb3f347f7782cc23a5
TigerVNC/tigervnc,17-Mar-17,53f520567202928f908b5f94f6d143e7067a8bdd,16-Dec-12,504d98fcaa0c9571e3fb011947fa1a1e1d263237
TrinityCore/TrinityCore,18-Mar-17,940c80e3e85aa4508f296c69cc8daf77c1b6e229,20-Dec-12,a7d1394c2e55ef99c9643338b073860a256c565f
Vatsinator/Vatsinator,10-Jun-17,f80c21059afb89e8baec154283d3e8f12c62db30,31-Dec-12,b1b13d5f5738ae6876e571ad3d4c24d844c8af7b
VcDevel/Vc,8-Jun-17,9e6ec672ba8d9c085213291d95be009ed5838493,10-Dec-12,f4e55e219b98e124ff285893db3b53718b2db8f6
VikingScientist/LRsplines,22-Feb-17,b8e8720484a806e8bfa308a2c4a8624fcc11cf37,30-Nov-12,d12804bcbba4b2701fe9ead98f4a2601d3803537
VoltDB/voltdb,18-Mar-17,0b1cc5903118d78134cd8025714d182d125d0efe,31-Dec-12,abc0b33b35d2dc52b4ba67dd966578fdc148ac1a
WCSim/WCSim,27-Apr-17,05950d9609f1519397991df89d88c03c2ee6235b,5-Dec-12,0a5e294f87cdc31bba70664847245219706b8e2c
Warzone2100/warzone2100,18-Mar-17,7401dfb37a0caf619d45bc21ac5123a9f4b45010,28-Oct-12,85ecd9a3937e7843d9eb4798572651f950bd7555
WebKit/webkit,5-Jul-17,92ab0cc5691f3d58365995d807b06528547814ce,31-Dec-12,50a30af9a2083f7f00c2e2580011c7340152097b
Z3Prover/z3,17-Mar-17,d58018841e8bca4a85bbd8972fccb5d6cca645a7,27-Dec-12,e2f6b10e3200bef881e0e3dcd2d84c8ab5570d37
Zeex/samp-plugin-jit,14-Jan-17,cc93e169de9c136ce0f8f02c4f721aa17569d630,28-Dec-12,38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c
Zeex/samp-plugin-profiler,15-Jan-17,48042dfd560b07cc727887cf15da1a5245d4b725,27-Dec-12,9c5a55138736c4b7938e3fff835ccb44ce9cf6f3
Zeex/sampgdk,23-Jun-17,d8af5d8730504e07d541ab9bcd3663825915f047,31-Dec-12,dd878521dc81342205fc0bd72914ba096a21acea
actor-framework/actor-framework,10-Jan-17,9fb82f556760e1004e27fb4d303499b603a3fc19,21-Dec-12,373ccf36dfa0c9f6500d769c24791126c23772bf
airdcpp/airgit,4-Jul-17,e97b3316430f3188f2447b8bc60cfc0d9cf72266,31-Dec-12,5f7a0d5dbb8db174a944a14efbca1d3fd90a7620
akrzemi1/Optional,24-Mar-17,8456c3923776b33b4ae852734273fe934c3e4e61,22-Dec-12,e4d214984165d61c8d769cd91e45a2396db05f90
aldebaran/libqi-python,26-May-17,d474a5c2e590decb8aa3352bb77c10d0e6b30a0a,28-Nov-12,f93785c9202cce36f5acec304124331de7fedf46
alecthomas/entityx,21-Feb-17,de3fd13d72d82b507469a3ed8798d483df6bc5d1,27-Oct-12,59f62b5c0df10be433b9380777e4d5a649d03d95
alembic/alembic,30-May-17,048eb1201a37ed309909c1ac4e168968e1730b58,3-Dec-12,e0cdd80e5ff8468c6710f085d201f4c79c9acc74
android/platform_external_protobuf,26-Jun-17,7fca48d8ce97f7ba3ab8eea5c472f1ad3711762f,14-Dec-12,adeccdc18128424a6879bc45b60be90a2e0ca104
apache/thrift,27-Jun-17,5b4c6bfc627ddbd56d1e98d4b818bec8cd8a5efd,28-Dec-12,d996739bffab35b2b5cccc816609e8ad07f703ac
arangodb/arangodb,13-Jul-17,4e068d49b73c88350dcf37afcfe7c51c73a7e835,27-Dec-12,b48d039e3f64b5f376ff045ea19e64762b083809
aras-p/glsl-optimizer,29-May-17,21b98a985423eec771600d2db0fbf6d340106af9,12-Dec-12,000f4a33c0359ed6b3c11aafa5f0cba1d6d91fea
arx/ArxLibertatis,1-Jul-17,c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1,10-Dec-12,ab93d2f7874a7e37b7f1894af82cfc57a50792a7
awgn/cgrep,18-Apr-17,fb39544604841cb1dd067d9994a10f5312355378,26-Dec-12,b9ed5d5534d331be928b604ad4effbc3caf0a896
behdad/harfbuzz,21-Jun-17,ad52e044bcf733bcc6c0373bafcd78a8c0beb400,21-Dec-12,596740db04e7c1dadae0d8be6e401089fcaffc2d
biometrics/openbr,8-Jun-17,d0fcef6248cdca941ad29bf40adae7d5a27b158a,31-Dec-12,927b7781d935f4953351e0436717bc3d124040a3
bkaradzic/bgfx,2-Jul-17,1e0e2555dce63aa3708a803e0ebce7d348a62dd9,31-Dec-12,21e78cf7b03512fd15b59d9dffb6b3250bd377dd
bluecherrydvr/bluecherry-client,24-May-17,1085b7826ff1d42fa5ee55104d1241b9e2b8838e,25-Oct-12,b07ef0f9b4806e3dc39fea6cabaa7a7740b223c5
bolero-MURAKAMI/Sprout,1-Jun-17,59c5e7874c6b48b670fce5d42c5344f662f574c9,23-Dec-12,28697ee7a86130002e4697ef81afcaae5daf5986
boostorg/test,26-Jun-17,3d13638c412ac357f178e99a99bf44dfd756c057,13-Dec-12,954d3ab699ed474d9d2e95a8f81bbacf86865b26
brezerk/q4wine,29-May-17,edf81923f1f834c11876b4982e8548faacdbd2bf,1-Jan-12,3587effcab5329c4d1c00e860d0ca8a8404a3549
brndnmtthws/conky,11-Feb-17,a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9,23-Dec-12,0e1f4526b425401a4ef882b5b1f104384e1f3c15
bro/bro,27-Jun-17,b527a9870da02e053e08803083f271b6f5eb28c1,24-Dec-12,32a0ead698c467a9a89f5b58687db2f7e2812d3c
bro/pysubnettree,5-Jun-17,812f158ab98f3a46d50a0288fbd4d7692f9de651,12-Oct-12,7a266dc2fdede127f521a8572c2e1292a6b181f5
c42f/tinyformat,2-May-17,d563f7fbcdce8f72751d5455e44e995ed7ead949,19-Dec-12,08212e00d2b38bbbd50d0c7bbd5b9a97c92f1351
caetanosauer/zero,14-Feb-17,908e17159a00aa2621fa469d96f72ec433046054,21-Dec-12,762b474a1bc0d1bc330c5cb53e65ab0946418173
casadi/casadi,25-May-17,64b7712a548e929515ba68b271e60c42546742ef,10-Dec-12,018433fb500287c3811fa900e327808eab3750e2
ceph/ceph,1-Jul-17,98e00ab70b0994c7a3c62c07b158f8cd06043e71,26-Nov-12,ccdafa067afed74b209537ae45ff8b49bb5fab3b
cern-it-sdc-id/davix,11-May-17,32c5f3cf934500a570703c8f6bfc06ede10ed4b8,20-Dec-12,5defcba3608474780f4437cc802ca3b04968167f
chenshuo/muduo,23-May-17,44879bf25ff60187dcaa938a637d6ec50fd8531d,10-Dec-12,dd26871ca152c96b7a0d615a86cfdfc80facdfd1
christopho/solarus,3-Apr-17,cc30297016e6deb1fbcd0b49f07e6c2059645014,30-Dec-12,deab5a22d3786d58e6facdf88ab8e130aad75549
cinder/Cinder,1-Jul-17,9fd44e89a9cb50f191e3e197eaa47371f107b602,29-Dec-12,bc4974c248747a323f5bbeeaaa5297ffae82938e
cinemast/libjson-rpc-cpp,29-May-17,c2453c967b2059eeb77a387a0827c0cf87f816e0,31-Dec-12,546d7083118fea9531342becd030069804b39a43
clementine-player/Clementine,15-Mar-17,a034c2d4d0507e6f49b48482d2b993953de18cba,31-Dec-12,a752f704f6a4d000dde6c5114f8bcb84d0f6d9c0
clintbellanger/flare-engine,14-Mar-17,4fcdc4939a3544a5823b782dd90ae5b244a0eb10,31-Dec-12,4a06d78cc6395539e9aab5344dea47a8ec4a038a
cloudera/impala,13-May-17,0c71e366a5cf32ee53719507491d61eb9bc8b51a,19-Oct-12,27d94cc833f0068136ffcce4b7e483af7e1a0444
cmangos/mangos-classic,1-Jul-17,806a7883c5827925450f89e0d280f6c967357c50,22-Jul-12,343d5851ef8053d17c9d540f071744a86fd323d5
cmangos/mangos-wotlk,4-Jul-17,73cb0915ecfdd2694a0b7aa4bd9ba56e975638db,24-Jul-12,5c72a7f8302399a9c041acacf377c08d89d77a8e
cms-sw/cmssw,18-Mar-17,7e44ea5b89093b25a8eaa686ba0ec4485df837b6,31-Dec-12,9f6e8794244d97947c5d698bc5bcf78fb31c7692
cocaine/cocaine-core,4-Apr-17,6ac316113723ca3cd4d218f94b7e79cd3284e501,24-Dec-12,820338ade645b5d5648e8e4999e1103a2c3ed4d9
cocos2d/cocos2d-x,3-Jul-17,84ccbde8455f79e1939598cb2b277078db12816c,15-Dec-12,ef9de9286c5f538f09888ed64da568def7ebb7f0
codelibre-net/schroot,2-Jun-17,039d559fc8ae83e9f383f00ea17e0b7f84051a44,29-Oct-12,80c94fef9690476eab8dba52dd57010479594bc1
codership/mysql-wsrep,24-May-17,c70c68b76772a2f96723fb3c6332b7f1a6e11a4a,29-Dec-12,5b2818d1dae54d5f231a78c266269fe9622102ee
coin-or/CppAD,28-Jun-17,40e2ccaaca4760f72dca0867aaaad97270186c5d,31-Dec-12,3b47e8151c8a67e392c68629a81f7e0c3350dfe8
colobot/colobot,29-May-17,92a8140b778675a769440dc206b11b8012734bff,30-Dec-12,16d97f91212c1b1b4cd775ab9808afb66b648267
commontk/CTK,28-Jun-17,f96b5014aac1d76468f03a708446cd334a8aba84,12-Dec-12,05d881ad64025d8309d63a4179e9f0dd4d9d9f14
commontk/DCMTK,21-Apr-17,d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d,26-Oct-12,b2b14d78cdafcca698b5ef1c0d102386052b9fc3
copasi/COPASI,16-May-17,4fd032e01f0db24d1fee7fe473b5f92b4583715e,5-Dec-12,c1ad752dfb3011874e2180949c719357f8aeb998
cppformat/cppformat,11-Mar-17,c03f55ec3a0511611fa7f0537f858544a0ed03bd,29-Dec-12,251e8774b010b0e21ac774bd3196aabcd2f3b2d2
cpputest/cpputest,2-Feb-17,16ee2828a7bbfff1f43c259e3e75655bc76e980f,28-Dec-12,a5118d9de0462489d4d07021cc42ebda5ecee868
csete/gqrx,16-Mar-17,4a66a03fcdd5ef1d929825d67793b0111c81e79a,31-Dec-12,5882c01acc0a40b7c8a3f7222e54f63d680bc44c
danmar/cppcheck,16-Mar-17,7c0aa4464c3d23fd499985fdc5fb4b24f54ff7bf,31-Dec-12,74171447844f6cbf5f3c3f9809d6e0e996db31e2
davisking/dlib,3-Jul-17,4ec04bd51ffdf12fbeb35977b6309338a1b9cc8f,22-Jan-12,482474c8f37ddd1ef0a31625fc6f554c7c739bef
ddemidov/vexcl,14-Mar-17,9da8cb44da3cce1b3f1542fb4615069a208470ee,30-Dec-12,6cf94a715c054e9214c59b51fa3861fd7eca5f9d
dermesser/libsocket,21-Mar-17,5bbe6858b61c58b20d1e28a35f3135fb707e1570,26-Oct-12,347b806db2caf3defde76004456b3be6493293dd
deskvox/deskvox,1-Jun-17,96e52235b5397d800f15971594327bdd3d7eacc0,6-Dec-12,ca9e3e07d8c6f09496d9e256c572e1927eef76b3
dorkster/flare-engine-next,25-Jun-17,def388a7eecbfb2ac750e6b20507d5272d723dfc,31-Dec-12,4a06d78cc6395539e9aab5344dea47a8ec4a038a
dune-project/dune-common,31-Mar-17,45c3f0ac13fd5db5ece0b6bec9e50d7407d0d660,26-Dec-12,7306493535f7ad54758f2ec1fd4326b03c20abbe
dune-project/dune-grid,31-Mar-17,3b6335a8721382bd4ce6c3e97162bd0a2fc25cab,31-Dec-12,decf7947ee48c0ab2b2058f3e805586feaeb706d
dune-project/dune-istl,19-Jan-17,77390949867707b63234557ae34583a0beda3898,24-Dec-12,bb000dc887d11f597d61b89198c9592406c9a856
dune-project/dune-localfunctions,13-Feb-17,a180253d3e16337313c8ebd7aec38855a08d1122,28-Dec-12,0f6f08d7454a2bc6a096fb8856432c180eabaf2b
edubart/otclient,13-May-17,8c731ac016d95407eed6c2767945a97fbdd4fa83,31-Dec-12,8cdab5c814403d875e05fb44876de5244ca928b9
elemental/Elemental,17-May-17,351bc9460dcc58be62e9b42902e49640a97c0b0e,31-Dec-12,54a2b092d048cbebc67bde1f8ccc094e5e191e83
esa/pagmo,11-May-17,60d8566e2e771975fc84712fb46866007f9b3400,6-Dec-12,ea8777a49c9e8e6bff2e7ae9b7a45d419f223490
etano/simpimc,3-Jan-17,943fb6e3ec399b1f7b9ea075a447806f4522a6fd,6-Feb-12,26b5ccebf67ed269df6cd9c75fbfb059360c3ef6
eteran/edb-debugger,23-Jun-17,c656659b881cf8693b3584b923a128dc3597b8fa,12-Dec-12,020ba5583eda7b845255818cbec73f57a36ced94
euroelessar/jreen,6-Jan-17,c04c229d2ead96db1af31e55c81d6ab00fb65a7b,26-Oct-12,98b7c0c8d7392064ff46a480f96c13a9c793c60e
euroelessar/qutim-translations,4-Feb-17,fd392e6c17bf2f83f8425b770a1484cb1aabe722,28-Dec-12,eb7bd02dfd4d30a06910a7e550beb7ed1e80553f
eutelescope/eutelescope,28-Jun-17,3b4bfe988991290d2e1a21f94259738b1528929c,10-Dec-12,6d1847164f491e2c084f09a8f2933fe4c20364eb
facebook/hhvm,17-Mar-17,b9fbabc988a159fb385688f17c0eb369534f0071,9-Aug-12,34ba5330d5bcbcae549444a59f08547ff890c786
facebook/mysql-5.6,20-Mar-17,037c4910b360633160d97cc002c60576dea85393,24-Sep-12,c90982aa2d1c99b5ac23d68e1ff54c7acd33f1b1
falkTX/los,22-Mar-17,6ad4052cfd0a552f387bb05028b51d9c6dde9610,11-Sep-12,42516b0f9659ca11e30e2f54e3d48ff4a9ba29ea
farbrausch/fr_public,9-Apr-17,8c8f82c2ae01133370e649bbc05916e7aceecadd,28-Dec-12,92ab4c95b3dfbe9238293fae6ef054cd74a787f3
fcitx/fcitx-qt5,18-May-17,22e210e3df692dfe81df3cc5f117e64e99002507,25-Oct-12,69bfd921be1f4f1f0d4af49786dc1a73b4bf546c
firebreath/FireBreath,10-Mar-17,6a0387e413a56939dce6b1fd6def17633b252ecd,19-Dec-12,a8ed832029a708b85ef85f252154cc19fa38be8f
flow123d/flow123d,26-Jun-17,ec113e1ad2b97642f2e1bad7c1aba615300d91da,21-Dec-12,99bda768cac32d7b5be9d3827f6766747ea9fc92
freeorion/freeorion,12-Jul-17,611758cf90e990070cafe728c61b689d399dd5f7,31-Dec-12,1a491cc2c64973884cf97ebd79705ea90781c8ee
freundlich/fcppt,2-Jul-17,652b63c63e241376f535a470874adbcbd4e7f623,27-Dec-12,1abf126308ee1f4ca2eef9ae124a65de23b61f08
freundlich/mizuiro,6-May-17,e1a77ff94cf11f5d2515424a923886cb62cb02dc,23-Dec-12,4f5fe1d02598404283d3783333cddda87dc7418e
