repository,v1,total_bug1,rats1,flawfinder1,cppcheck1,clang1,pvs_studio1,parasoft1,v2,total_bug2,rats2,flawfinder2,cppcheck2,clang2,pvs_studio2,parasoft2
Andersbakken/rtags,005e5569366b519850f0ae5b78f618f4d67d8785,453,94,344,15,0,0,0,b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,1398,394,1002,2,0,0,0
Bertram25/ValyriaTear,97fceb85691e90dd8788221bdb8b9132c24c6148,204,37,167,0,0,0,0,99cc26a8c76d05d9bdc82fe9213e5fd39050d218,253,36,135,1,0,81,0
ChaiScript/ChaiScript,064a385a645c89c8b958b754f0d5e8399b9b6df9,32,4,24,3,0,1,0,e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,21,3,15,0,0,3,0
DGtal-team/DGtal,06bf04a64ace2cf4fceb8aae2a66ca27897848a2,249,13,110,5,0,121,0,1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,177,11,66,0,0,99,0
FreeCAD/FreeCAD_sf_master,e3d55841065cc22b32eda7ff53a648698c748562,2623,609,1863,151,0,0,0,0ec1c40d255bee91c0a745457a4528b612f1fe10,2108,478,1507,123,0,0,0
GollyGang/ready,f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,96,9,61,1,0,25,0,6800b29d331505a8c94897a1565760dcc50c62ca,371,91,237,41,0,2,0
H-uru/Plasma,76f136261c9bc88b3cb6e9e70e63f54e64bcd416,3099,947,2115,37,0,0,0,d382da0fe7823fe8c61949365c757a5bddd8182b,4870,1555,3276,39,0,0,0
InsightSoftwareConsortium/ITK,07cb23f9866768b5f4ee48ebec8766b6e19efc69,7923,2418,5363,121,21,0,0,35e3315e0248df1fa93ba4b0c90f4a49162d8abe,5757,1675,3992,70,20,0,0
Itseez/opencv,c1007c7276e889f5f284702515a60b6799df9cd7,8811,799,2567,49,0,227,5169,fd31234122a73e5585bccd9ca83cb2401967113f,9543,652,1900,47,0,1775,5169
KDAB/GammaRay,3d5cdd5353645676a23aafd9b8b1917694da3d87,740,39,118,1,0,65,517,c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,598,28,48,0,0,5,517
