repository,v1,total_bug1,rats1,flawfinder1,cppcheck1,clang1,pvs_studio1,parasoft1,v2,total_bug2,rats2,flawfinder2,cppcheck2,clang2,pvs_studio2,parasoft2
ALPSCore/ALPSCore,7969b6a9174f8ea6f07c4b35966d4769607112a8,      84,      15,      53,       0,       0,      16,       0,d9b0adf670321d3a2dc232eb75ef766d5fcf030c,     208,      38,     168,       2,       0,       0,       0
Andersbakken/rtags,005e5569366b519850f0ae5b78f618f4d67d8785,     453,      94,     344,      15,       0,       0,       0,b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,    1398,     394,    1002,       2,       0,       0,       0
BenHanson/lexertl,3215fe45c1c49298abd59f9f215ddd05792f50b0,      29,       0,      25,       0,       0,       4,       0,3e4d2381c3acf712a6130f96ae4fc29217548c97,      28,       0,      25,       0,       0,       3,       0
Bertram25/ValyriaTear,97fceb85691e90dd8788221bdb8b9132c24c6148,     204,      37,     167,       0,       0,       0,       0,99cc26a8c76d05d9bdc82fe9213e5fd39050d218,     253,      36,     135,       1,       0,      81,       0
ChaiScript/ChaiScript,064a385a645c89c8b958b754f0d5e8399b9b6df9,      32,       4,      24,       3,       0,       1,       0,e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,      21,       3,      15,       0,       0,       3,       0
DGtal-team/DGtal,06bf04a64ace2cf4fceb8aae2a66ca27897848a2,     249,      13,     110,       5,       0,     121,       0,1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,     177,      11,      66,       0,       0,      99,       0
Deltafire/Milkytracker,56bf091a0e8c5242e160d37f2974f3e1e2525821,    3325,     965,    1891,      13,       0,     410,      46,dda125b03eabc7371965030edd62c3201fe79f2b,    3325,     965,    1891,      13,       0,     410,      46
Eyescale/Collage,f320324f091b81c3ec5a26ed16ffc5c0fb49da29,     117,      37,      79,       1,       0,       0,       0,919ca72b1d74171c1759d3c46b427f0f7c6732d9,     119,      40,      76,       1,       0,       2,       0
FreeCAD/FreeCAD_sf_master,e3d55841065cc22b32eda7ff53a648698c748562,    2623,     609,    1863,     151,       0,       0,       0,0ec1c40d255bee91c0a745457a4528b612f1fe10,    2108,     478,    1507,     123,       0,       0,       0
GarageGames/Torque3D,8684cd1a65084e52f76131d74520c2fa9e1904a1,    8147,    3145,    4909,      93,       0,       0,       0,cd686a23b3b39c18552c933f76bc6587fc5ce2f3,    7786,    3030,    4632,     124,       0,       0,       0
GehnShard/Plasma,3fabf49045cd56e7b323a74b2e83d3c885d508ee,    3097,     947,    2113,      37,       0,       0,       0,d382da0fe7823fe8c61949365c757a5bddd8182b,    4870,    1555,    3276,      39,       0,       0,       0
GollyGang/ready,f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,      96,       9,      61,       1,       0,      25,       0,6800b29d331505a8c94897a1565760dcc50c62ca,     371,      91,     237,      41,       0,       2,       0
H-uru/Plasma,76f136261c9bc88b3cb6e9e70e63f54e64bcd416,    3099,     947,    2115,      37,       0,       0,       0,d382da0fe7823fe8c61949365c757a5bddd8182b,    4870,    1555,    3276,      39,       0,       0,       0
InsightSoftwareConsortium/ITK,07cb23f9866768b5f4ee48ebec8766b6e19efc69,    7923,    2418,    5363,     121,      21,       0,       0,35e3315e0248df1fa93ba4b0c90f4a49162d8abe,    5757,    1675,    3992,      70,      20,       0,       0
Itseez/opencv,c1007c7276e889f5f284702515a60b6799df9cd7,    8811,     799,    2567,      49,       0,     227,    5169,fd31234122a73e5585bccd9ca83cb2401967113f,    9543,     652,    1900,      47,       0,    1775,    5169
KDAB/GammaRay,3d5cdd5353645676a23aafd9b8b1917694da3d87,     740,      39,     118,       1,       0,      65,     517,c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,     598,      28,      48,       0,       0,       5,     517
Kazade/kazmath,3b2de632783d5f566217094034a2a3366bf6efe6,     560,       0,      10,       0,       0,      18,     532,e25d39df2f289a3d06fc3e2318cf61bdedf23b71,     561,       0,      10,       0,       0,      19,     532
KhronosGroup/OpenCOLLADA,5c548d2fc16ef35aa275eb207c111e27332f8b56,    5054,     380,    2171,      11,       0,     189,    2303,428019272e7af8608b9c3e05f9ae1c30187b5325,    4949,     342,    2104,      15,       0,     185,    2303
KiCAD/kicad-source-mirror,2300697f0297ac64dd2ec3b38882bc670fbaef01,    1710,     282,     534,      18,       0,     869,       7,474128a4452a9868e3e906fde219d665a795a530,     933,     250,     658,      18,       0,       0,       7
Kitware/CMake,14f0378e103fd24915712cb94c98265ad18c8736,   36560,    1214,    3338,      35,      10,     363,   31600,81cdab5beaffc7665550710b84006a0a7ce76cfa,   35409,    1050,    2396,      33,      17,     313,   31600
Kitware/VTK,e1d409a6895180117cb9574c4d0ca3d53e27d7e7,   26853,    5309,   10626,     306,      25,   10587,       0,b0ff5a4ce706dd2a39acdaa8132dab3f4ca99219,   16154,    5304,   10523,     302,      25,       0,       0
KitwareMedical/TubeTK,4950ed986022d5248561dacdee7c2b043c9e80ac,     255,      52,     203,       0,       0,       0,       0,357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6,     117,      32,      81,       4,       0,       0,       0
LaurentGomila/SFML,756cb09bc3caf7b543c495f9c40d3a48bdf31428,     375,      66,     218,       0,       0,      48,      43,2de690f02db4114ff41142c152ed94a944aee265,     253,      24,     143,       0,       0,      43,      43
LiberatorUSA/GUCEF,408b884adfb4ff62a5b7ec30798d704b91836d25,   17647,    1635,   12893,     316,       0,    2687,     116,6f8c0d256bb7bf729c9ab3c0806d3ffca1831287,    5790,    1187,    3127,     156,       0,    1204,     116
ManaPlus/ManaPlus,4541175c81e5de39a3118729b7f5997d251b3d35,     832,     182,     461,      22,       0,     167,       0,c01aec243610016c2cd5e4211fee484627bc69ea,     607,     125,     280,       7,       0,     195,       0
Mudlet/Mudlet,7a2ba8e0e41e1eae27ebae9faaedcc2b5747bf93,     253,      16,      96,       1,       0,      68,      72,9cfbadc3ead1b303dd140e5734a64033bef778cc,     313,      24,     106,       3,       0,     108,      72
MyGUI/mygui,d079917c3b8f448c3c4d06eb593272799a93d124,     543,      84,     340,      23,       0,      96,       0,027f13b57a03ec258b50ba066e4b73deebd25f0d,     422,      58,     248,      23,       0,      93,       0
OPM/opm-simulators,930f0ea9a09f0b3ea54fbf0b605c7da3a471ecad,     141,       3,      56,       0,       2,      80,       0,bf18ee7fb9a544c1134c931e1b77f08c79a24ce8,     106,       5,      58,       0,       2,      41,       0
OPM/opm-material,ff4f092a7ff03f16e128df1c6f1c8f6d1b6dbe8c,      60,       0,       5,       0,       2,      53,       0,eaf85622abbeb4934d222c021c5170ea4bd8a885,      24,       0,       5,       0,       2,      17,       0
OpenImageIO/oiio,777dc35b8ac1f18941bbc440da0cbe5e7b56669d,    1861,     239,     985,       5,       0,     539,      93,cb5a00eb21c9dc7e7aa36111c74988c07e555480,    1670,     260,     952,      17,       0,     348,      93
PCSX2/pcsx2,ec7781f1f9d59e5db181aae07e48e94945ed1565,    6723,    1535,    4230,     153,       0,     805,       0,9e1717fee542ee1641a6e719bafc403437475d2c,    6065,    1702,    4119,     241,       0,       3,       0
PixarAnimationStudios/OpenSubdiv,a00df9344c19e328c3d52270face2a4bc596550b,     611,      79,     279,       2,       0,     246,       5,cbb02fd3ce32c11251f02d678eddc0a8d178583b,     583,      76,     270,       2,       0,     230,       5
Project-OSRM/osrm-backend,af65ccd054f64d162bf44375a534ecf45a7b59aa,     332,      28,     182,       2,       0,     120,       0,0df81c49d5bedc106c2ce980d49cdf9386ea9a84,     253,      47,     140,       2,       0,      64,       0
RainerKuemmerle/g2o,deafc01ee8315b9405351fb145238c5d62f82dc7,     468,     125,     258,       8,       0,      77,       0,8dec86fc74050a2d77c3fad0a010aa5c3a6a1010,     339,      91,     184,       7,       0,      57,       0
Reactive-Extensions/RxCpp,c808bb5b4536e35f25611db3c38fd9cda4a62c36,     131,      22,      28,       1,       0,      80,       0,0b3e8b7b47a11d03cf66ce8de57bf1da9108ce3b,     129,      22,      28,       0,       0,      79,       0
ReadyTalk/avian,dee99d6dd60b743a870d1a2c58183649c8a6449c,    1305,     166,     823,       1,       0,      80,     235,4bacddb20ab0ecd099e3c2f3e010a69f978a9aff,    1283,     161,     805,       1,       0,      81,     235
Ryochan7/antimicro,81693777b4a51136fce097ea259a95466315c71f,     283,      15,      38,       1,       0,     216,      13,198f8896e987cd6f6b7fa08c1f3803eebff2037e,     205,      12,      33,       1,       0,     146,      13
SINTEF-Geometry/GoTools,fe9c60cda04c18494eefbd03635a893ddf85ab07,   17177,     509,     915,      67,       0,    2421,   13265,3fbcf74fa625ac71fa85860ecd6909d8f1c2831b,   14585,     449,     809,      62,       0,       0,   13265
SOCI/soci,e719c44bb89949d3c179a6390de57ccd9046878b,     353,     142,     168,       0,       0,      43,       0,1e4b3654814edec463c2a71f3d7ae009320749a7,     361,     147,     176,       0,       0,      38,       0
STEllAR-GROUP/hpx,694ae57b429fcfe67fc04059b2504398e0457a73,     579,      67,     495,       5,       5,       7,       0,3a14ec85644e3798eeb3dfe11be1ddcdda45d407,     464,      48,     407,       9,       0,       0,       0
SafirSDK/safir_sdk_core,88c98c69f4fd4727e96e2610acb9b057683ee67a,     326,      32,     242,       0,       0,      52,       0,8a789efdc8ffb97fa7a79ed286027a34d4039e63,     387,      70,     255,       0,       0,      62,       0
SimTk/openmm,feb79f770145bb12c99bbe058e29d077a381465d,    2590,     172,    1531,       2,       0,     885,       0,c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44,    2355,     130,    1480,       3,       0,     742,       0
Slicer/SlicerExecutionModel,1d3e9a226bd594f23733993c16c337ba60077bc5,      25,       8,      17,       0,       0,       0,       0,b6125d3f5f29f7395fee060a0a0bb04409818ad4,      50,      18,      32,       0,       0,       0,       0
SupSuper/OpenXcom,bcb0a0cd60f83576484977824c6522f4e3e8e86b,     233,      82,     145,       6,       0,       0,       0,3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5,     225,      56,      72,       1,       0,      96,       0
SuperTux/supertux,0fb271c8711c141eb5b30314668c90d7d75fb7f1,     774,     248,     513,      13,       0,       0,       0,3918a884872e4e92805cf1476bd59db5ebf41431,    1215,     268,     642,      19,       0,     286,       0
SuperTuxTeam/supertux,0fb271c8711c141eb5b30314668c90d7d75fb7f1,     774,     248,     513,      13,       0,       0,       0,3918a884872e4e92805cf1476bd59db5ebf41431,    1215,     268,     642,      19,       0,     286,       0
TUM-I5/ASAGI,f633f96931ae00805f599078d5a1a6a830881554,      53,       2,      39,       0,       0,      12,       0,a0cd4e117c2b95035644cf6a3365d0cdfef5f784,      53,       1,      39,       1,       0,      12,       0
TigerVNC/tigervnc,53f520567202928f908b5f94f6d143e7067a8bdd,    2717,     287,     648,       7,       0,     136,    1639,0878eca6aa47106a24fee53ab3791c677fdfefbe,    4291,     675,    1465,      48,       0,     464,    1639
Vatsinator/Vatsinator,f80c21059afb89e8baec154283d3e8f12c62db30,     156,      15,      35,       1,       0,      79,      26,b1b13d5f5738ae6876e571ad3d4c24d844c8af7b,      92,      14,      40,       2,       0,      10,      26
VcDevel/Vc,9e6ec672ba8d9c085213291d95be009ed5838493,     291,       4,      21,       0,       0,     266,       0,298f0440ab61c10b92ccfad709d15017ebd51066,      68,       2,      18,       0,       0,      48,       0
WCSim/WCSim,05950d9609f1519397991df89d88c03c2ee6235b,     104,       5,      15,       0,       0,      84,       0,6bcfbafcf99436b5cfc426cb37eaf11d6265c67d,      96,       5,      14,       1,       0,      76,       0
Z3Prover/z3,3350f32e1f2c01c9df63b7d71899796a18ce2272,    1162,      50,     231,      12,       0,     859,      10,44d4902bb4bd52c1c074d3189da078cd12ff64b6,     304,      50,     233,      11,       0,       0,      10
Zeex/samp-plugin-jit,cc93e169de9c136ce0f8f02c4f721aa17569d630,      85,      15,      70,       0,       0,       0,       0,38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c,     209,      21,      72,       0,       0,     116,       0
Zeex/samp-plugin-profiler,48042dfd560b07cc727887cf15da1a5245d4b725,     304,       4,      21,       0,       0,       0,     279,f037c40e9706aa5e9d858d65eead648b6e725be9,     309,       4,      20,       0,       0,       6,     279
actor-framework/actor-framework,9fb82f556760e1004e27fb4d303499b603a3fc19,     414,      21,     352,       2,       0,      39,       0,7fb9fdb9eeeae6d5311d3aa5d12acabe3471212d,      88,      14,      52,       0,       0,      22,       0
akrzemi1/Optional,8456c3923776b33b4ae852734273fe934c3e4e61,       3,       0,       0,       0,       0,       3,       0,0507870a7e537706e8005297f9eed82b60626518,       4,       0,       0,       0,       0,       4,       0
alecthomas/entityx,de3fd13d72d82b507469a3ed8798d483df6bc5d1,      44,       1,      13,       0,       0,      30,       0,59f62b5c0df10be433b9380777e4d5a649d03d95,       5,       0,       4,       0,       0,       1,       0
alembic/alembic,048eb1201a37ed309909c1ac4e168968e1730b58,     323,      87,     111,       1,       0,     124,       0,277684c561f6e6c1d6a3bfba4bdb6c83e5618978,      76,      31,      43,       2,       0,       0,       0
apache/thrift,5b4c6bfc627ddbd56d1e98d4b818bec8cd8a5efd,     787,     159,     510,       0,       0,     108,      10,11c3569720853d3339b82fc0231d54260ccf5fa8,     715,     143,     460,       0,       0,     102,      10
arangodb/arangodb,4e068d49b73c88350dcf37afcfe7c51c73a7e835,   13396,     378,   12297,      72,       3,     646,       0,e0e003d0601882ed9cb1a730dddbff787c144043,    3085,       0,    3045,      35,       0,       5,       0
aras-p/glsl-optimizer,21b98a985423eec771600d2db0fbf6d340106af9,     563,      45,     135,       6,       0,     138,     239,e06b8e7eaa830260a16f1b0938706fe0394b1c27,     561,      45,     135,       6,       0,     136,     239
arx/ArxLibertatis,c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1,     892,     283,     604,       5,       0,       0,       0,bb2893ca91989a9929b4e54ac9fdb092f7fe4dda,    2247,     414,    1095,      10,       0,     728,       0
biometrics/openbr,d0fcef6248cdca941ad29bf40adae7d5a27b158a,    1127,     223,     680,      18,       0,     193,      13,927b7781d935f4953351e0436717bc3d124040a3,     338,      41,     236,      10,       0,      38,      13
bolero-MURAKAMI/Sprout,59c5e7874c6b48b670fce5d42c5344f662f574c9,    1175,       1,    1089,       0,       0,      85,       0,93e22a984db9251e474b4df8ce41a076c7594669,    1070,       1,     996,       0,       0,      73,       0
